s11	s12	s21	s22	s31	s32	labels
-4.06442346544809	-0.900225425604054	-0.0340897905451073	0.0192474362191353	-40.5261310893593	19.4567939089283	2
-4.66945454900563	4.29377864728364	-0.00680539896672778	0.0419779483206104	-12.4613915233013	-12.2789255734739	4
4.39661293820573	1.01105899247187	0.0262581307473187	-0.0169674880314669	22.1589369062574	-3.50011835550708	6
-5.415703230832	-7.7957098432873	-0.0348023323714876	-0.0406143183623771	-16.0906121233599	36.0758180457331	1
7.99703792440081	2.83471814257711	0.0575055150378884	-0.026858485305716	37.989808790065	-4.69854967587913	6
9.22919626781486	7.82785018479391	0.0611711758453024	-0.0285375948968236	39.5587517174523	-20.4449438345016	6
-1.04978043162412	-8.77144620697134	-0.0356774825110084	-0.0695062238549573	-23.7356356046599	20.533910318111	1
-1.48006890738068	-11.8547079925009	-0.0462059616817658	-0.0763879430942565	-23.138104833399	48.8807012245275	1
4.91893709015678	-4.5215001037558	0.00810671396911919	-0.00152944502118731	28.7470713448916	-17.6957371322644	5
6.02160154566444	-4.39470002039486	0.0275383885535217	0.00277137361527072	39.3238752209065	17.9792888639089	5
-4.26183138610676	4.28252404740791	-0.013700349102527	0.0271266605369839	-10.0332587347137	8.82134256380094	4
-2.44242374800118	7.10534827994547	-0.007000751345327	0.0202416399877454	-10.0599058400014	-21.3779766295276	4
-6.18613788385626	6.96748221655727	-0.0421838059136404	0.0305477868330926	-36.4687017715228	-36.8954504255206	2
-6.32473106201159	5.80708195203404	-0.0141457506485296	0.0382412248162263	-22.5996819781509	-45.8749751592554	4
7.78351617676177	-1.0069666494858	0.0366734370860253	-0.0232006387336394	28.4203456848645	28.9374714681474	6
11.823119254031	4.90930807649169	0.0487321437129104	-0.0211635900788935	41.0669924369499	23.755538215806	6
-7.67054886627253	-2.01845138358351	-0.0505809825608725	0.0180686780760157	-45.1112809668274	-22.2492055971079	2
-4.13251398622822	3.86636313425486	-0.00239429895899264	0.0329641207016924	-17.9670126461002	-26.4769950303492	4
-1.94240465957317	-2.21058652871423	0.00321790631977581	0.000629074542838981	-28.7548817595125	-1.02290524969889	3
-5.19410757794098	7.05901231518497	-0.0179813086923036	0.0447697371771396	-9.96825067061939	-40.4237651076669	4
