labels	s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	
1	-404.63	411.33	1915.33	0	0	4022.5	-4929.27	-11011.74	-6417.43	18456.96	-12.03	716.66	-7441.73	-14316.42	-90409.36	
1	359.9	1397.44	1937.01	0	0	-5195.21	6122.36	-6371.72	-4119.21	-5168.58	-6.1	-10064.09	-21088.06	-26529.59	-153396.68	
1	-1004.39	181.21	1458.86	0	0	5623.76	3348.41	-5048.05	4396.08	15073.86	8.87	-3477.43	-8798.52	-15974.3	-109443.84	
1	-2136.19	-994.58	-773.71	0	0	-3461.38	-8762.57	-72.02	32908.93	46434.7	4.69	-7266.04	6693.28	10372.6	68474.25	
1	274.13	1191.46	-1812.35	0	0	472.93	6962.69	21204.11	63712.43	86022.46	7.71	2802.41	20259.99	23127.29	164987.48	
1	-1186.73	-1109.24	-757.32	0	0	3088.83	9898.63	7975.28	16840.04	17986.22	-12.08	-6952.29	3951.47	-911.04	-23345.79	
1	-5020.72	201.28	-1459.49	0	0	233.92	13023.85	16672.25	57597.44	79332.06	-16.03	1749.97	29882.76	24004.33	161188.84	
1	1555.78	319.73	584.28	0	0	6679.44	12978.6	14469.76	16736.69	19541.38	-6.72	-1584.63	-7417.05	-9633.89	22179.65	
1	-2185.45	-932	-514.65	0	0	8049.96	1959.96	1545.59	31947.31	45422.96	13.69	-3582.99	4549.23	12458.67	69497.07	
1	338.27	608.41	972.94	0	0	207.16	-1738.95	-13460.49	5471.37	1465.96	0.72	-18047.08	-65666.24	-30698.89	-57510.23	
1	1518.69	1628.69	2124.01	0	0	-5928.35	-6001.73	-12454.17	-109.71	23242.32	12.65	-1213.22	-12120.46	-11951.17	-84842.95	
1	539.06	-761.73	-638.04	0	0	-1302.53	-3274.14	14901.82	17429.34	19558.89	17.36	3539.36	-11104.16	-3920.87	-22935.15	
1	2841.77	619.22	-1594.05	0	0	-2751.42	12168.67	17718.42	51369.78	69827.72	-1.46	5851.26	20490.33	26406.04	170378.67	
1	1112.08	1902.65	2314.43	0	0	-2501.85	-10734.26	-2409.48	-10943.82	-17021.71	-20.87	19.33	-25715.23	-32814.91	-159622.69	
1	-4776.71	-1815.28	1816.31	0	0	-3590.29	-14049.22	-9169.61	-897.47	26934.54	10.81	-604.22	-3825.59	-11479.33	-80858.11	
1	-303.15	1401.9	2218.51	0	0	26.99	4748.87	3249.74	-6647.51	-2788.6	-6.33	-972.01	-28706.45	-28460.1	-145205.14	
1	-908.17	-727.45	-222.63	0	0	6112.73	10703	11228.49	12793.72	6564.92	-4.31	-2823.22	-9077.67	-6379.94	-34500.22	
1	-2084.73	-946.31	-836.76	0	0	-2354.77	2792.62	9634.39	36158.13	51848.37	-13.56	589.3	11871.55	14362.51	72230.55	
1	-587.25	-538.17	-26.62	0	0	-1049.14	-10158.55	3548.11	17494.86	13877.73	20.63	-7429.22	-6256.02	-3681.35	-42989.41	
1	151.33	-642.19	-304.01	0	0	3291.67	7861.95	-1708.48	16607.37	17632.3	0.83	39251.48	-23931.47	-2168.25	-26679.1	
1	277.72	-1095.59	-2030.63	0	0	3431.27	5776.59	-13431.76	10492.2	16589.31	-9.94	28072.64	27931.6	33996	203528.11	
1	-1620.67	-1260.51	-990.57	0	0	1249.6	8484.68	8709.98	13669.9	5174.44	-19.58	4513.53	-8507.43	4835.52	-30711.81	
1	1526.88	511.69	707.77	0	0	2870.39	6454.1	-7680.68	12958.54	13737.41	-14.04	-2114.06	-5187.54	-8893.73	-58179.36	
1	1032.26	912.25	804.11	0	0	2404.88	2242.48	-13223.08	8046.3	40955.68	3.93	2673.07	5417.74	2284.04	-336.92	
1	185.82	27.88	1305.37	0	0	-1352.81	275.11	-12083.83	-1233.79	33522.02	25.56	2347.74	3278.94	-11748.19	-74801.02	
1	-486.81	-1236.79	1113.79	0	0	1079.54	-4972.3	-17639.17	4143.51	38062.47	10.51	-2168.17	4635.47	-5102.19	-4448.73	
1	-1330.63	1233.63	1884.12	0	0	-1104.6	-11059.91	-13486.82	-6202.03	-5893.09	14.55	5043.89	-27860.11	-29967.87	-155207.42	
1	829.68	909.8	-1644.23	0	0	-2907.41	-8845.3	20849.33	60059.96	83183.35	-30.83	10807.46	26355.51	25187.62	163794.74	
1	1064.3	819.57	1186.91	0	0	1697.12	8312.72	1881.6	7047.36	13315.14	8.01	-3985.23	9036.94	43474.89	-119984.57	
1	388.88	710.53	-1516.82	0	0	-4.63	11594.89	18330.39	53957.21	83270.69	-6.82	4679.95	19317.29	25861.53	160022.18	
1	878.05	1487.67	-1877.43	0	0	-768.82	7043.9	11232.95	48631.99	84420.13	0.55	-6029.93	19031.71	16532.69	136292.15	
1	-685.05	360.26	1078.65	0	0	668.09	-9675.32	11620.85	6960.27	16672.85	-18.04	-3288.56	-13056.72	-15912.2	-116272.35	
1	-1835.31	-825.4	-509.16	0	0	2755.68	2299.14	7541.1	37001.16	50195.7	12.32	-3307.75	9735.15	15215.98	73965.44	
1	-509.1	569.16	1118.57	0	0	970.97	2825.46	992.33	8525.49	5407.86	20.59	-4185.13	-4944.21	-22009.2	-127874.47	
1	801.62	-206.49	-455.8	0	0	375.87	12175.55	15363.95	38855.13	56871.71	25.62	32089.04	14154.23	-5155.58	82774.54	
1	225.34	251.7	-717.2	0	0	631.79	5236.78	9716.64	35901.79	63229.96	-1.29	3108.5	14227.46	14350.33	120852.75	
1	-1030.12	-493.85	-337.29	0	0	-53.57	8417.69	24482.49	41211.07	58203.67	4.31	-2238.84	17547.85	12503.95	103673.69	
1	1020.18	72.95	-376.42	0	0	-2530.54	13438.86	4508.61	8713.94	6101.86	-4.32	-1088.91	-15483.98	-4784.57	-33147.24	
1	-44.94	1926.13	2491.71	0	0	2153.16	-7226.73	6051.77	-9801.31	-11738.41	-17.63	106.33	-29265.37	-29632.5	-151450.31	
1	626.86	567.41	408.08	0	0	4019.06	8454.94	7914.17	14564.14	2590.27	-8.96	-3597.69	-11136.05	-6620.74	-36962.8	
1	30.47	-783.44	-1914.19	0	0	-1809.74	-4570.3	-11418.21	13812.15	21035.76	-3.9	-4513.21	25674.15	34588.8	202841.39	
